Film Title,Character,Dialogue
Pocahontas,Pocahontas,But why can’t I choose—
Pocahontas,Powhatan,"Pocahontas, come with me. You are the daughter of the chief. It is time to take your place among our people. Even the wild mountain stream must someday join the big river."
Pocahontas,Pocahontas,He wants me to be steady… Like the river. But it’s not steady at all.
Pocahontas,Grandmother Willow,Is that my Pocahontas?
Pocahontas,Pocahontas,"Grandmother Willow, I need to talk to you."
Pocahontas,Grandmother Willow,"Good morning, child. I was hoping you’d visit today. Why, your mother’s necklace!"
Pocahontas,Pocahontas,That’s what I wanted to talk to you about. My father wants me to marry Kocoum.
Pocahontas,Grandmother Willow,Kocoum? But he’s so serious.
Pocahontas,Pocahontas,I know. My father thinks it’s the right path for me. But lately I’ve been having this dream and I think it’s—
Pocahontas,Grandmother Willow,"Oh, a dream! Let’s hear all about it!"
Pocahontas,Animals,[Chatter.]
Pocahontas,Grandmother Willow,Quiet! Quiet!
Pocahontas,Frog,[Ribbit.]
Pocahontas,Grandmother Willow,"Now, child, you were saying."
Pocahontas,Pocahontas,"Well, I’m running through the woods and then right there in front of me is an arrow. As I look at it, it starts to spin."
Pocahontas,Grandmother Willow,A spinning arrow? How unusual.
Pocahontas,Pocahontas,Yes! It spins faster and faster and faster until suddenly it stops.
Pocahontas,Grandmother Willow,"Hmm. Well, seems to me this spinning arrow is pointing you down your path."
Pocahontas,Pocahontas,"But Grandmother Willow, what is my path? How am I ever going to find it?"
Pocahontas,Grandmother Willow,[Chuckle.] Your mother asked me the very same question.
Pocahontas,Pocahontas,She did? What did you tell her?
Pocahontas,Grandmother Willow,"I told her to listen. All around you are spirits, child. They live in the earth, the water, the sky. If you listen, they will guide you."
Pocahontas,Wind Spirits,Ay ay ay na ay ay na
Pocahontas,Pocahontas,I hear the wind.
Pocahontas,Grandmother Willow,"Yes, what is it telling you?"
Pocahontas,Pocahontas,I don’t understand.
Pocahontas,Grandmother Willow,Que que na-to-ra
Pocahontas,Pocahontas,It’s saying something’s coming! Strange clouds?
Pocahontas,Grandmother Willow,Listen with your heart
Pocahontas,Wind Spirits,You will understand
Pocahontas,Grandmother Willow,What do you see?
Pocahontas,Pocahontas,Clouds. Strange clouds.
Pocahontas,Ratcliffe,"Look at it, Wiggins. An entire New World chock full of gold, just waiting for me."
Pocahontas,Wiggins,"And scores of adventures waiting for us, right, Percy? Do you think we’ll meet some savages?"
Pocahontas,Ratcliffe,"If we do, we should be sure to give them a proper English greeting."
Pocahontas,Wiggins,"Oh, gift baskets!"
Pocahontas,Ratcliffe,And he came so highly recommended.
Pocahontas,John Smith,"It’s perfect, Governor. The water’s deep enough, we can pull right up to shore. Hey there, Percy."
Pocahontas,Ratcliffe,"Very well, then. Give the order."
Pocahontas,John Smith,"Already done, sir. I’ve got a crew assembled and they’re ready to go."
Pocahontas,Ratcliffe,"About the natives, I’m counting on you to make sure those filthy heathens don’t disrupt our mission."
Pocahontas,John Smith,"Well, if they’re anything like the savages I’ve fought before, it’s nothing I can’t handle."
Pocahontas,Ratcliffe,"Right. That’ll be all, Smith, there’s a good man."
Pocahontas,John Smith,"See ya, Percy."
Pocahontas,Ratcliffe,"The men like Smith, don’t they? I’ve never been a popular man."
Pocahontas,Wiggins,I like you.
Pocahontas,Ratcliffe,And don’t think I don’t know what those backstabbers at court say about me.
Pocahontas,Wiggins,"Oh yes, all that talk about you being a pathetic social climber who’s failed at everything he’s—"
Pocahontas,Ratcliffe,"I’m very well aware that this is my last chance for glory. But mark my words, Wiggins, when King James see the gold these peasants unearth success will be mine, at last."
Pocahontas,Ben,Wake up! Shake a leg!
Pocahontas,Lon,It’s incredible.
Pocahontas,Thomas,And it’s all ours. I’ve never seen anything like it.
