Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"No… No, I just, uh… I… I didn’t see anything. Did I?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Look again.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Let it break upon you
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Pocahontas, the tree is talking to me."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Then you should talk back.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Don’t be frightened, young man. My bark is worse than my bite."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Say something.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,What do you say to a tree?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Anything you want.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"So, uh…"
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Come closer, John Smith. He has a good soul. And he’s handsome, too."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Oh, I like her."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I knew you would.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,We can’t let them see us.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Quick, over here."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,I’m glad you’re on our side.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,There’s still some snap in these old vines.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,I better get back before they send the whole camp out after me.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,When will I see you again?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Meet me tonight, right here. [Exits.]"
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Well, I haven’t had this much excitement in 200 years."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"What am I doing? I shouldn’t be seeing him again. I mean, I want to see him again—"
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Who wouldn’t? I want to see him again.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"But still, something inside is telling me it’s the right thing."
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Perhaps it’s your dream.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,My dream? Do you think he’s the one the spinning arrow was pointing to?
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Mm-hmm!
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Pocahontas, are you crazy? What were you doing with that—"
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,There you are!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Kocoum!
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,Look at them. Now we have enough warriors to destroy those white demons!
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Now that we are joined by our brothers, we will defeat this enemy."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Father, I need to speak with you."
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Not now, my daughter. The council is gathering."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,We don’t have to fight them! There must be a better way.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Sometimes our paths are chosen for us.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,But maybe we should try talking to them.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,They do not want to talk.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"But if one of them did want to talk, you would listen to him, wouldn’t you?"
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Pocahontas—
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Wouldn’t you?
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Of course I would. But it is not that simple. Nothing is simple anymore.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Easy, Thomas. It’s me."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Not aiming like that, you couldn’t. Keep both eyes open when you shoot. You’ll see twice as well."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Smith! Where have you been?
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"I was out scouting the terrain, sir."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Excellent. Then you must know the Indians’ whereabouts. We’ll need that information for the battle.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,What battle?
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,We will eliminate these savages once and for all.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,No! You can’t do that!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Look, we don’t have to fight them."
